"C_NO","SITE_CONTENT","SITE","PET_YN"
3498,"일반야영장(8면)",8,"N"
8047,"일반야영장(6면)",6,"N"
3466,"자동차야영장사이트(19면)",19,"N"
7544,"일반야영장(20면)",20,"N"
3471,"일반야영장(27면) 자동차야영장사이트(21면)",48,"N"
8148,"자동차야영장사이트(16면)",16,"Y"
3472,"자동차야영장사이트(35면)",35,"N"
3476,"일반야영장(32면) 카라반(4면)",36,"N"
3478,"",0,"N"
7093,"",0,"N"
3481,"일반야영장(50면)",50,"N"
3482,"일반야영장(12면)",12,"N"
3484,"일반야영장(24면) 글램핑시설(4면)",28,"N"
7789,"일반야영장(5면)",5,"Y"
3486,"글램핑시설(7면) 카라반(8면)",15,"N"
7210,"일반야영장(20면) 카라반(3면)",23,"Y"
2982,"일반야영장(30면)",30,"N"
2786,"자동차야영장사이트(22면)",22,"N"
2985,"자동차야영장사이트(50면)",50,"N"
2987,"자동차야영장사이트(10면) 글램핑시설(24면)",34,"N"
7925,"자동차야영장사이트(15면) 글램핑시설(1면)",16,"N"
2990,"일반야영장(28면) 글램핑시설(45면)",73,"N"
2991,"",0,"N"
2992,"자동차야영장사이트(18면)",18,"N"
2997,"자동차야영장사이트(60면) 카라반(3면)",63,"N"
2999,"일반야영장(40면)",40,"N"
7565,"글램핑시설(5면) 카라반(2면)",7,"N"
3002,"자동차야영장사이트(24면) 글램핑시설(7면)",31,"N"
3004,"자동차야영장사이트(31면) 글램핑시설(4면)",35,"N"
3005,"카라반(28면)",28,"N"
3010,"자동차야영장사이트(45면)",45,"N"
7066,"일반야영장(4면)",4,"Y"
7067,"자동차야영장사이트(26면)",26,"N"
3013,"자동차야영장사이트(20면)",20,"N"
3014,"일반야영장(9면)",9,"Y"
3016,"일반야영장(99면)",99,"N"
7068,"글램핑시설(10면)",10,"N"
7651,"자동차야영장사이트(18면)",18,"Y"
7672,"일반야영장(20면) 카라반(7면)",27,"Y"
3021,"일반야영장(44면)",44,"N"
3022,"일반야영장(12면)",12,"N"
3028,"카라반(22면)",22,"N"
3030,"카라반(10면)",10,"N"
7766,"글램핑시설(7면)",7,"Y"
100073,"자동차야영장사이트(29면)",29,"Y"
3033,"",0,"N"
3034,"카라반(9면)",9,"N"
3035,"일반야영장(13면) 글램핑시설(2면)",15,"N"
100293,"일반야영장(16면) 자동차야영장사이트(16면)",32,"Y"
3042,"카라반(8면)",8,"N"
7069,"일반야영장(49면) 자동차야영장사이트(31면)",80,"Y"
100318,"카라반(5면)",5,"N"
6848,"카라반(10면)",10,"N"
100111,"자동차야영장사이트(29면)",29,"Y"
100480,"일반야영장(30면)",30,"N"
8044,"일반야영장(20면)",20,"Y"
8058,"자동차야영장사이트(40면)",40,"Y"
100634,"일반야영장(7면)",7,"Y"
100441,"일반야영장(20면)",20,"Y"
3049,"글램핑시설(11면)",11,"N"
3050,"일반야영장(40면) 글램핑시설(10면)",50,"N"
8123,"일반야영장(13면)",13,"Y"
3055,"카라반(7면)",7,"Y"
100401,"일반야영장(23면) 자동차야영장사이트(16면)",39,"Y"
100595,"글램핑시설(5면)",5,"N"
6947,"글램핑시설(28면)",28,"N"
100120,"자동차야영장사이트(40면)",40,"Y"
7901,"",0,"Y"
100547,"자동차야영장사이트(30면)",30,"Y"
3059,"글램핑시설(9면) 카라반(6면)",15,"N"
7212,"자동차야영장사이트(15면)",15,"Y"
3046,"자동차야영장사이트(30면)",30,"N"
3064,"일반야영장(21면) 자동차야영장사이트(21면)",42,"N"
3067,"",0,"N"
100094,"자동차야영장사이트(15면)",15,"Y"
100380,"일반야영장(18면)",18,"Y"
100540,"일반야영장(40면) 글램핑시설(20면)",60,"Y"
7998,"일반야영장(30면)",30,"Y"
8121,"글램핑시설(30면)",30,"N"
7443,"",0,"N"
7214,"일반야영장(21면) 글램핑시설(7면)",28,"N"
7105,"자동차야영장사이트(30면)",30,"N"
3083,"자동차야영장사이트(34면) 글램핑시설(5면)",39,"N"
8176,"",0,"Y"
3084,"",0,"N"
3085,"",0,"N"
100298,"일반야영장(63면) 자동차야영장사이트(60면)",123,"Y"
1057,"일반야영장(15면) 글램핑시설(16면)",31,"N"
3092,"",0,"N"
7411,"",0,"N"
7793,"일반야영장(46면)",46,"N"
8106,"일반야영장(21면)",21,"N"
3097,"글램핑시설(10면)",10,"N"
3098,"일반야영장(17면)",17,"Y"
3099,"일반야영장(11면) 자동차야영장사이트(11면) 글램핑시설(11면)",33,"N"
3100,"",0,"N"
8001,"글램핑시설(11면)",11,"N"
7869,"카라반(12면)",12,"Y"
3107,"일반야영장(59면)",59,"N"
7071,"일반야영장(40면) 자동차야영장사이트(40면)",80,"N"
160,"글램핑시설(15면)",15,"Y"
3109,"자동차야영장사이트(30면)",30,"N"
3111,"글램핑시설(3면)",3,"Y"
7794,"일반야영장(8면)",8,"Y"
3112,"글램핑시설(24면)",24,"N"
3115,"글램핑시설(11면)",11,"N"
3116,"글램핑시설(25면) 카라반(2면)",27,"N"
3117,"자동차야영장사이트(40면)",40,"Y"
3120,"일반야영장(45면) 자동차야영장사이트(31면) 카라반(10면)",86,"N"
2014,"일반야영장(20면)",20,"Y"
100618,"일반야영장(4면)",4,"N"
7072,"글램핑시설(12면) 카라반(15면)",27,"N"
8072,"자동차야영장사이트(23면)",23,"N"
101097,"",0,"Y"
100017,"카라반(5면)",5,"Y"
3126,"일반야영장(25면)",25,"N"
3127,"글램핑시설(5면)",5,"N"
7744,"글램핑시설(22면)",22,"Y"
100615,"자동차야영장사이트(3면)",3,"Y"
3139,"일반야영장(81면)",81,"Y"
3140,"자동차야영장사이트(32면) 카라반(3면)",35,"Y"
3144,"일반야영장(21면) 자동차야영장사이트(12면)",33,"N"
3147,"카라반(9면)",9,"N"
3148,"",0,"N"
3150,"일반야영장(45면)",45,"N"
7774,"글램핑시설(9면)",9,"Y"
7648,"일반야영장(11면) 자동차야영장사이트(16면) 카라반(3면)",30,"Y"
7216,"일반야영장(7면) 자동차야영장사이트(6면) 글램핑시설(9면) 카라반(1면) 개인카라반사이트(1면)",24,"N"
3157,"일반야영장(40면)",40,"N"
7074,"글램핑시설(5면)",5,"N"
7441,"",0,"N"
3160,"일반야영장(30면)",30,"N"
3162,"카라반(10면)",10,"N"
3163,"",0,"N"
3164,"자동차야영장사이트(8면)",8,"N"
7248,"글램핑시설(9면)",9,"N"
7075,"자동차야영장사이트(31면)",31,"N"
3167,"카라반(6면)",6,"N"
2913,"자동차야영장사이트(11면)",11,"Y"
7563,"일반야영장(13면) 카라반(2면)",15,"Y"
3168,"일반야영장(28면)",28,"Y"
8010,"일반야영장(20면)",20,"Y"
3169,"자동차야영장사이트(5면) 카라반(7면)",12,"N"
7217,"글램핑시설(12면)",12,"N"
3170,"자동차야영장사이트(30면)",30,"Y"
3175,"카라반(50면)",50,"N"
7630,"일반야영장(18면)",18,"Y"
100542,"일반야영장(3면) 카라반(30면)",33,"Y"
8154,"글램핑시설(12면)",12,"Y"
7104,"자동차야영장사이트(44면)",44,"Y"
7078,"일반야영장(4면) 글램핑시설(10면)",14,"N"
7410,"",0,"N"
3184,"",0,"N"
7218,"글램핑시설(8면)",8,"N"
3186,"자동차야영장사이트(6면) 글램핑시설(17면) 카라반(4면)",27,"Y"
7079,"자동차야영장사이트(11면)",11,"N"
7219,"자동차야영장사이트(24면)",24,"Y"
100164,"자동차야영장사이트(18면)",18,"N"
7526,"자동차야영장사이트(16면)",16,"Y"
100000,"일반야영장(31면) 개인카라반사이트(1면)",32,"Y"
3199,"일반야영장(15면) 글램핑시설(10면)",25,"N"
444,"",0,"N"
3201,"글램핑시설(10면)",10,"N"
3202,"일반야영장(17면) 카라반(6면)",23,"N"
3203,"일반야영장(19면)",19,"N"
3205,"",0,"N"
3206,"일반야영장(42면)",42,"N"
7943,"일반야영장(15면)",15,"Y"
3209,"일반야영장(20면)",20,"N"
3210,"자동차야영장사이트(62면)",62,"N"
7080,"",0,"N"
3213,"일반야영장(24면) 자동차야영장사이트(24면)",48,"N"
7761,"글램핑시설(8면)",8,"N"
7562,"자동차야영장사이트(10면) 글램핑시설(10면)",20,"Y"
100355,"자동차야영장사이트(70면) 카라반(5면)",75,"Y"
3219,"",0,"N"
780,"",0,"N"
7220,"일반야영장(11면) 자동차야영장사이트(11면)",22,"Y"
3227,"카라반(8면)",8,"N"
3229,"일반야영장(10면)",10,"N"
100363,"일반야영장(41면) 자동차야영장사이트(42면)",83,"Y"
7540,"자동차야영장사이트(56면)",56,"Y"
2685,"자동차야영장사이트(30면)",30,"N"
2686,"카라반(9면)",9,"N"
2688,"카라반(2면)",2,"N"
2692,"자동차야영장사이트(40면)",40,"N"
2695,"일반야영장(5면)",5,"N"
2697,"일반야영장(21면)",21,"N"
7412,"",0,"N"
2701,"일반야영장(40면)",40,"N"
2703,"일반야영장(37면) 자동차야영장사이트(31면) 글램핑시설(6면) 카라반(3면)",77,"N"
2704,"자동차야영장사이트(20면)",20,"Y"
7597,"글램핑시설(3면)",3,"N"
7207,"일반야영장(40면)",40,"N"
6983,"글램핑시설(8면)",8,"N"
7047,"글램핑시설(7면)",7,"Y"
2709,"",0,"N"
100311,"일반야영장(4면) 자동차야영장사이트(21면) 글램핑시설(2면)",27,"Y"
2717,"일반야영장(50면) 개인카라반사이트(10면)",60,"N"
2719,"글램핑시설(10면)",10,"N"
2720,"자동차야영장사이트(25면)",25,"N"
2729,"카라반(6면)",6,"N"
2730,"카라반(9면)",9,"N"
7049,"자동차야영장사이트(19면)",19,"Y"
7050,"글램핑시설(8면)",8,"N"
2732,"일반야영장(20면)",20,"N"
2733,"일반야영장(10면)",10,"N"
2735,"",0,"N"
8027,"일반야영장(6면) 자동차야영장사이트(32면) 카라반(14면)",52,"Y"
100317,"글램핑시설(7면)",7,"Y"
1648,"글램핑시설(3면) 카라반(19면)",22,"N"
2739,"일반야영장(63면)",63,"N"
8046,"일반야영장(12면)",12,"N"
7052,"일반야영장(26면)",26,"N"
7934,"카라반(10면)",10,"Y"
2750,"글램핑시설(21면)",21,"N"
2751,"자동차야영장사이트(11면)",11,"N"
7805,"글램핑시설(10면)",10,"Y"
7053,"",0,"N"
7273,"",0,"N"
2755,"",0,"N"
2758,"자동차야영장사이트(10면) 글램핑시설(16면)",26,"N"
125,"일반야영장(12면)",12,"N"
7972,"글램핑시설(3면) 카라반(3면)",6,"Y"
2764,"일반야영장(7면) 자동차야영장사이트(28면)",35,"N"
2765,"자동차야영장사이트(60면)",60,"N"
2766,"일반야영장(35면)",35,"N"
7208,"일반야영장(14면) 글램핑시설(8면) 개인카라반사이트(12면)",34,"Y"
7209,"일반야영장(10면)",10,"N"
2771,"일반야영장(37면)",37,"N"
100286,"글램핑시설(12면)",12,"Y"
7140,"일반야영장(44면) 개인카라반사이트(6면)",50,"N"
2778,"일반야영장(47면)",47,"N"
2782,"",0,"N"
2783,"일반야영장(30면)",30,"N"
7309,"",0,"N"
2793,"일반야영장(17면) 자동차야영장사이트(10면)",27,"Y"
2794,"",0,"N"
100510,"일반야영장(14면) 자동차야영장사이트(6면)",20,"Y"
2800,"일반야영장(20면)",20,"N"
2808,"일반야영장(12면)",12,"N"
7057,"",0,"N"
8008,"자동차야영장사이트(2211면) 글램핑시설(16면)",2227,"Y"
100487,"",0,"Y"
2809,"자동차야영장사이트(35면)",35,"N"
2811,"일반야영장(30면)",30,"N"
8022,"자동차야영장사이트(9면)",9,"Y"
2812,"일반야영장(21면)",21,"N"
2813,"자동차야영장사이트(31면)",31,"N"
2815,"일반야영장(25면)",25,"N"
100308,"카라반(16면)",16,"Y"
2820,"개인카라반사이트(7면)",7,"N"
2822,"일반야영장(20면)",20,"Y"
100469,"",0,"Y"
2823,"일반야영장(16면)",16,"Y"
7538,"일반야영장(12면)",12,"N"
2825,"자동차야영장사이트(14면)",14,"N"
8175,"일반야영장(44면)",44,"N"
2828,"일반야영장(30면)",30,"N"
2280,"일반야영장(34면)",34,"N"
2830,"일반야영장(46면) 자동차야영장사이트(13면)",59,"N"
2833,"일반야영장(65면) 덤프스테이션(6기)",71,"Y"
100271,"자동차야영장사이트(44면)",44,"N"
7058,"일반야영장(13면) 카라반(2면)",15,"N"
7738,"일반야영장(9면)",9,"N"
7855,"일반야영장(15면)",15,"N"
2842,"일반야영장(40면)",40,"N"
2843,"일반야영장(20면) 카라반(5면)",25,"N"
59,"",0,"Y"
8055,"일반야영장(28면)",28,"Y"
2848,"일반야영장(15면)",15,"Y"
7489,"",0,"N"
2851,"일반야영장(120면)",120,"N"
2854,"자동차야영장사이트(39면)",39,"N"
2856,"일반야영장(30면) 자동차야영장사이트(30면)",60,"Y"
2857,"일반야영장(44면)",44,"Y"
2860,"일반야영장(10면)",10,"Y"
2861,"",0,"N"
2865,"일반야영장(22면)",22,"N"
7896,"일반야영장(20면) 자동차야영장사이트(13면) 글램핑시설(14면) 카라반(2면)",49,"Y"
7271,"",0,"N"
2867,"일반야영장(4면)",4,"Y"
7967,"일반야영장(12면) 자동차야영장사이트(22면)",34,"N"
100049,"자동차야영장사이트(10면)",10,"Y"
100114,"글램핑시설(20면)",20,"Y"
2873,"일반야영장(17면)",17,"Y"
2877,"",0,"N"
2876,"일반야영장(5면) 자동차야영장사이트(60면) 카라반(15면)",80,"N"
100249,"일반야영장(3면) 글램핑시설(10면)",13,"N"
7061,"",0,"N"
7717,"일반야영장(9면)",9,"Y"
2879,"일반야영장(10면) 카라반(8면)",18,"N"
2880,"일반야영장(15면)",15,"N"
2881,"카라반(15면)",15,"N"
2882,"일반야영장(34면)",34,"N"
92,"일반야영장(18면) 글램핑시설(7면)",25,"N"
100276,"자동차야영장사이트(15면) 카라반(4면)",19,"Y"
2885,"자동차야영장사이트(40면)",40,"Y"
2896,"자동차야영장사이트(35면)",35,"N"
100400,"자동차야영장사이트(31면)",31,"Y"
7551,"일반야영장(8면) 글램핑시설(3면)",11,"Y"
2891,"일반야영장(20면)",20,"N"
2892,"자동차야영장사이트(42면)",42,"N"
2894,"일반야영장(10면) 자동차야영장사이트(3면) 카라반(4면)",17,"Y"
2895,"일반야영장(18면)",18,"N"
7044,"",0,"N"
2903,"카라반(3면)",3,"N"
2904,"카라반(6면)",6,"N"
2905,"일반야영장(37면)",37,"N"
2907,"",0,"N"
6946,"자동차야영장사이트(28면)",28,"N"
2911,"자동차야영장사이트(40면)",40,"N"
2915,"일반야영장(20면) 자동차야영장사이트(5면)",25,"N"
2917,"",0,"N"
2920,"일반야영장(21면)",21,"Y"
7849,"자동차야영장사이트(10면)",10,"Y"
7812,"자동차야영장사이트(52면) 글램핑시설(14면)",66,"Y"
2928,"일반야영장(50면)",50,"Y"
7816,"일반야영장(8면)",8,"Y"
2929,"",0,"N"
2931,"자동차야영장사이트(42면)",42,"N"
3012,"",0,"N"
626,"자동차야영장사이트(10면) 글램핑시설(10면)",20,"N"
2933,"자동차야영장사이트(5면) 카라반(3면)",8,"N"
2934,"일반야영장(15면)",15,"Y"
2935,"일반야영장(33면)",33,"N"
2936,"일반야영장(30면)",30,"N"
2937,"카라반(20면) 개인카라반사이트(56면)",76,"N"
7558,"자동차야영장사이트(35면)",35,"Y"
7292,"",0,"Y"
2939,"일반야영장(43면)",43,"N"
2940,"일반야영장(48면)",48,"Y"
2941,"일반야영장(30면) 자동차야영장사이트(20면)",50,"Y"
2944,"일반야영장(7면)",7,"Y"
8159,"일반야영장(12면) 자동차야영장사이트(7면)",19,"Y"
7871,"글램핑시설(13면)",13,"N"
7519,"일반야영장(10면)",10,"Y"
2954,"",0,"N"
8020,"자동차야영장사이트(20면)",20,"N"
2956,"자동차야영장사이트(4면) 카라반(12면)",16,"N"
2958,"일반야영장(1면) 글램핑시설(10면)",11,"N"
100269,"일반야영장(7면)",7,"Y"
2963,"일반야영장(47면) 글램핑시설(16면)",63,"N"
2965,"일반야영장(16면) 자동차야영장사이트(35면)",51,"N"
7065,"",0,"N"
2966,"일반야영장(24면)",24,"N"
2968,"일반야영장(60면)",60,"N"
2974,"일반야영장(18면)",18,"N"
2975,"일반야영장(10면) 자동차야영장사이트(32면)",42,"N"
2977,"일반야영장(17면)",17,"N"
2411,"자동차야영장사이트(37면)",37,"N"
7497,"",0,"N"
2412,"일반야영장(6면)",6,"Y"
7033,"자동차야영장사이트(24면)",24,"N"
7602,"일반야영장(5면) 글램핑시설(2면)",7,"Y"
2413,"",0,"N"
2415,"일반야영장(20면)",20,"N"
100405,"일반야영장(23면)",23,"Y"
8082,"자동차야영장사이트(8면)",8,"Y"
100153,"일반야영장(17면)",17,"N"
100003,"일반야영장(15면)",15,"Y"
2420,"글램핑시설(20면)",20,"N"
8031,"일반야영장(25면)",25,"Y"
7621,"글램핑시설(14면)",14,"Y"
100020,"일반야영장(10면) 글램핑시설(2면)",12,"N"
7192,"일반야영장(20면) 글램핑시설(6면)",26,"N"
100458,"자동차야영장사이트(19면)",19,"N"
2436,"일반야영장(18면) 카라반(2면)",20,"Y"
100151,"자동차야영장사이트(23면) 글램핑시설(6면)",29,"Y"
2440,"",0,"N"
100539,"자동차야영장사이트(18면)",18,"Y"
7929,"자동차야영장사이트(68면) 글램핑시설(20면)",88,"N"
2444,"",0,"N"
2445,"일반야영장(20면)",20,"N"
2450,"",0,"N"
100372,"일반야영장(40면)",40,"Y"
7734,"일반야영장(15면)",15,"Y"
2455,"",0,"N"
7318,"",0,"N"
2458,"일반야영장(53면) 글램핑시설(4면) 카라반(4면) 개인카라반사이트(4면)",65,"N"
1143,"일반야영장(20면)",20,"N"
2459,"일반야영장(70면)",70,"N"
2460,"일반야영장(58면)",58,"N"
7035,"일반야영장(35면)",35,"N"
7408,"",0,"N"
2464,"일반야영장(50면)",50,"Y"
100295,"자동차야영장사이트(14면) 카라반(1면)",15,"Y"
7728,"일반야영장(18면) 자동차야영장사이트(15면)",33,"Y"
7966,"자동차야영장사이트(23면)",23,"Y"
100602,"자동차야영장사이트(37면)",37,"Y"
7036,"일반야영장(32면)",32,"Y"
2480,"자동차야영장사이트(32면) 글램핑시설(20면)",52,"N"
8155,"",0,"N"
8023,"자동차야영장사이트(30면)",30,"Y"
2482,"",0,"N"
2483,"글램핑시설(7면)",7,"N"
7037,"자동차야영장사이트(22면)",22,"Y"
100042,"자동차야영장사이트(15면) 글램핑시설(2면)",17,"Y"
2485,"자동차야영장사이트(20면)",20,"N"
2488,"자동차야영장사이트(119면)",119,"N"
2489,"일반야영장(200면)",200,"N"
2490,"",0,"N"
2494,"",0,"N"
100058,"일반야영장(17면)",17,"Y"
2492,"자동차야영장사이트(51면)",51,"Y"
7060,"일반야영장(25면)",25,"N"
2498,"일반야영장(11면)",11,"N"
2499,"일반야영장(14면)",14,"N"
2500,"자동차야영장사이트(57면)",57,"Y"
7675,"일반야영장(30면)",30,"Y"
100290,"덤프스테이션(1기)",1,"Y"
100629,"일반야영장(16면)",16,"Y"
2503,"자동차야영장사이트(28면)",28,"N"
7256,"일반야영장(38면) 자동차야영장사이트(38면)",76,"Y"
2505,"글램핑시설(20면)",20,"Y"
2506,"글램핑시설(7면)",7,"N"
7194,"일반야영장(10면)",10,"N"
7195,"일반야영장(10면) 자동차야영장사이트(10면)",20,"Y"
7638,"자동차야영장사이트(10면)",10,"Y"
2519,"",0,"N"
2521,"일반야영장(9면) 자동차야영장사이트(30면)",39,"N"
2522,"일반야영장(30면)",30,"Y"
100475,"자동차야영장사이트(60면)",60,"Y"
100236,"자동차야영장사이트(25면)",25,"Y"
7784,"자동차야영장사이트(19면) 개인카라반사이트(5면)",24,"N"
2524,"일반야영장(40면)",40,"N"
2525,"",0,"N"
7196,"카라반(21면) 개인카라반사이트(31면)",52,"N"
2529,"일반야영장(19면)",19,"Y"
7039,"일반야영장(60면)",60,"Y"
2533,"자동차야영장사이트(20면)",20,"N"
2534,"일반야영장(20면)",20,"N"
7197,"일반야영장(45면) 자동차야영장사이트(45면)",90,"Y"
7198,"일반야영장(30면)",30,"N"
7809,"일반야영장(50면)",50,"N"
8068,"자동차야영장사이트(16면)",16,"N"
100088,"자동차야영장사이트(10면)",10,"Y"
7854,"일반야영장(40면)",40,"Y"
100406,"",0,"N"
101218,"일반야영장(20면)",20,"N"
2541,"일반야영장(14면)",14,"N"
2543,"일반야영장(20면)",20,"Y"
100675,"일반야영장(19면)",19,"Y"
100196,"일반야영장(30면)",30,"Y"
7040,"자동차야영장사이트(16면)",16,"Y"
8146,"자동차야영장사이트(16면)",16,"N"
7201,"글램핑시설(5면)",5,"N"
16,"글램핑시설(17면)",17,"N"
2554,"카라반(2면)",2,"N"
2555,"일반야영장(8면) 자동차야영장사이트(6면) 글램핑시설(5면)",19,"Y"
7482,"",0,"N"
2560,"일반야영장(18면) 자동차야영장사이트(18면) 글램핑시설(26면)",62,"N"
100105,"글램핑시설(15면)",15,"Y"
7763,"일반야영장(16면)",16,"N"
2562,"일반야영장(13면)",13,"Y"
2563,"자동차야영장사이트(75면)",75,"N"
7936,"자동차야영장사이트(51면)",51,"N"
7788,"일반야영장(6면)",6,"N"
2561,"일반야영장(67면) 글램핑시설(13면)",80,"N"
100462,"글램핑시설(30면)",30,"Y"
2571,"자동차야영장사이트(55면)",55,"N"
7779,"글램핑시설(5면)",5,"N"
2579,"일반야영장(30면) 카라반(3면)",33,"N"
2573,"자동차야영장사이트(29면)",29,"Y"
2581,"일반야영장(40면)",40,"N"
7304,"",0,"N"
8025,"",0,"N"
100144,"자동차야영장사이트(38면) 카라반(14면)",52,"Y"
100512,"글램핑시설(8면)",8,"N"
100260,"글램핑시설(7면)",7,"Y"
2586,"자동차야영장사이트(50면)",50,"N"
2587,"자동차야영장사이트(30면)",30,"N"
2610,"일반야영장(24면) 자동차야영장사이트(24면) 글램핑시설(8면) 카라반(11면)",67,"N"
7043,"자동차야영장사이트(12면)",12,"N"
2614,"일반야영장(23면)",23,"Y"
7845,"일반야영장(30면) 자동차야영장사이트(30면) 카라반(3면)",63,"N"
2616,"일반야영장(191면) 자동차야영장사이트(191면) 카라반(40면) 개인카라반사이트(100면)",522,"N"
7598,"카라반(10면)",10,"Y"
7953,"일반야영장(8면) 자동차야영장사이트(23면)",31,"N"
2619,"자동차야영장사이트(5면)",5,"N"
7719,"일반야영장(26면)",26,"Y"
100187,"카라반(5면)",5,"Y"
2621,"자동차야영장사이트(31면)",31,"Y"
2622,"일반야영장(67면) 카라반(4면)",71,"N"
2623,"자동차야영장사이트(20면)",20,"N"
2624,"일반야영장(60면)",60,"Y"
7727,"일반야영장(3면) 글램핑시설(8면)",11,"N"
2625,"일반야영장(24면)",24,"N"
7843,"글램핑시설(2면) 카라반(4면)",6,"Y"
2627,"",0,"N"
2628,"일반야영장(10면) 자동차야영장사이트(5면)",15,"N"
100613,"일반야영장(33면)",33,"N"
2630,"",0,"N"
2632,"일반야영장(30면) 글램핑시설(25면)",55,"N"
2633,"일반야영장(38면)",38,"N"
100033,"일반야영장(28면)",28,"N"
7322,"",0,"N"
2641,"",0,"N"
7729,"일반야영장(7면)",7,"N"
100407,"",0,"N"
7731,"자동차야영장사이트(40면)",40,"Y"
7311,"일반야영장(26면)",26,"N"
2651,"일반야영장(26면) 글램핑시설(4면)",30,"N"
2652,"일반야영장(33면)",33,"N"
7796,"일반야영장(17면)",17,"N"
2659,"자동차야영장사이트(19면)",19,"N"
7205,"일반야영장(34면)",34,"N"
7300,"일반야영장(78면) 글램핑시설(4면)",82,"N"
2670,"일반야영장(20면)",20,"N"
2671,"자동차야영장사이트(50면)",50,"Y"
7710,"자동차야영장사이트(34면)",34,"Y"
2672,"일반야영장(17면) 자동차야영장사이트(17면) 카라반(9면)",43,"Y"
100216,"",0,"N"
7500,"일반야영장(18면)",18,"N"
100616,"자동차야영장사이트(4면) 카라반(2면)",6,"Y"
8128,"일반야영장(1면) 글램핑시설(6면)",7,"N"
7180,"일반야영장(40면) 자동차야영장사이트(40면)",80,"N"
7765,"일반야영장(24면)",24,"Y"
2142,"",0,"N"
2143,"일반야영장(38면)",38,"N"
7709,"글램핑시설(27면)",27,"N"
7775,"카라반(5면)",5,"Y"
7599,"일반야영장(20면)",20,"N"
100091,"일반야영장(25면)",25,"Y"
7181,"일반야영장(2면) 카라반(5면)",7,"N"
2146,"",0,"N"
7542,"일반야영장(1면)",1,"Y"
2149,"",0,"N"
2153,"글램핑시설(3면)",3,"N"
2154,"자동차야영장사이트(30면)",30,"N"
2155,"일반야영장(10면) 자동차야영장사이트(38면)",48,"N"
2156,"글램핑시설(19면)",19,"N"
100072,"일반야영장(16면)",16,"Y"
2538,"일반야영장(20면) 자동차야영장사이트(10면) 글램핑시설(14면)",44,"N"
7019,"일반야영장(10면)",10,"Y"
2164,"글램핑시설(5면)",5,"N"
100150,"자동차야영장사이트(49면)",49,"Y"
100404,"",0,"N"
2166,"글램핑시설(9면) 카라반(5면)",14,"N"
100296,"카라반(5면)",5,"Y"
2167,"일반야영장(28면) 카라반(10면)",38,"N"
7742,"자동차야영장사이트(15면) 카라반(4면)",19,"N"
2168,"글램핑시설(10면)",10,"N"
7270,"",0,"N"
100453,"자동차야영장사이트(18면)",18,"N"
2177,"",0,"N"
2178,"",0,"N"
2179,"일반야영장(86면)",86,"Y"
2181,"일반야영장(30면) 글램핑시설(5면)",35,"N"
2185,"일반야영장(122면) 자동차야영장사이트(25면)",147,"N"
7182,"일반야영장(30면)",30,"N"
2191,"일반야영장(30면)",30,"Y"
8042,"자동차야영장사이트(36면) 카라반(14면)",50,"Y"
6856,"일반야영장(12면)",12,"N"
7764,"일반야영장(10면) 글램핑시설(10면)",20,"Y"
6857,"자동차야영장사이트(25면)",25,"N"
7826,"일반야영장(59면)",59,"N"
2199,"글램핑시설(5면)",5,"N"
8209,"카라반(5면)",5,"Y"
2200,"자동차야영장사이트(100면) 카라반(20면)",120,"N"
7390,"일반야영장(16면)",16,"Y"
7857,"일반야영장(120면)",120,"Y"
2207,"일반야영장(22면)",22,"N"
7772,"일반야영장(7면)",7,"N"
2210,"",0,"N"
2213,"일반야영장(15면)",15,"N"
2217,"일반야영장(110면) 자동차야영장사이트(13면) 카라반(25면)",148,"N"
7707,"카라반(2면)",2,"N"
2218,"일반야영장(19면)",19,"Y"
2220,"자동차야영장사이트(53면)",53,"N"
7706,"글램핑시설(25면)",25,"N"
7693,"일반야영장(33면)",33,"Y"
2222,"일반야영장(26면)",26,"Y"
2224,"일반야영장(25면)",25,"N"
7665,"일반야영장(20면)",20,"N"
2228,"글램핑시설(11면)",11,"N"
2230,"자동차야영장사이트(37면)",37,"N"
100179,"일반야영장(14면) 자동차야영장사이트(6면)",20,"Y"
2232,"글램핑시설(5면) 카라반(3면)",8,"N"
1503,"자동차야영장사이트(50면) 카라반(10면)",60,"Y"
7884,"일반야영장(26면) 자동차야영장사이트(4면)",30,"Y"
2233,"일반야영장(29면)",29,"N"
101405,"일반야영장(21면) 개인카라반사이트(2면)",23,"N"
2235,"일반야영장(15면) 자동차야영장사이트(6면)",21,"N"
2236,"일반야영장(31면)",31,"Y"
7973,"일반야영장(17면)",17,"Y"
2243,"일반야영장(60면) 카라반(22면)",82,"N"
2249,"글램핑시설(12면)",12,"N"
8011,"글램핑시설(27면)",27,"Y"
2253,"일반야영장(46면) 글램핑시설(2면)",48,"Y"
2254,"",0,"N"
100171,"일반야영장(16면)",16,"Y"
1255,"일반야영장(15면) 자동차야영장사이트(15면)",30,"N"
2257,"일반야영장(20면)",20,"N"
7368,"",0,"N"
2263,"자동차야영장사이트(27면)",27,"N"
2260,"",0,"N"
2262,"일반야영장(50면)",50,"N"
2264,"일반야영장(25면)",25,"N"
2266,"자동차야영장사이트(17면)",17,"Y"
2269,"자동차야영장사이트(16면) 개인카라반사이트(5면)",21,"N"
2272,"자동차야영장사이트(44면)",44,"N"
2278,"글램핑시설(11면)",11,"N"
