"C_NO","SITE_CONTENT","SITE","PET_YN"
362,"일반야영장(80면) 자동차야영장사이트(75면) 카라반(13면)",168,"N"
7118,"일반야영장(80면) 글램핑시설(8면) 카라반(1면)",89,"N"
367,"",0,"N"
370,"일반야영장(40면)",40,"N"
373,"개인카라반사이트(45면)",45,"N"
378,"자동차야영장사이트(24면)",24,"N"
6743,"",0,"N"
100138,"글램핑시설(15면)",15,"Y"
382,"일반야영장(25면) 자동차야영장사이트(20면)",45,"N"
383,"일반야영장(12면)",12,"Y"
384,"일반야영장(7면) 자동차야영장사이트(15면)",22,"N"
385,"",0,"N"
387,"일반야영장(20면)",20,"N"
389,"일반야영장(25면)",25,"N"
390,"일반야영장(53면) 자동차야영장사이트(31면)",84,"N"
392,"일반야영장(30면)",30,"N"
7119,"일반야영장(83면)",83,"N"
394,"자동차야영장사이트(20면)",20,"N"
395,"",0,"N"
7314,"",0,"N"
398,"일반야영장(20면)",20,"N"
399,"",0,"N"
400,"일반야영장(37면)",37,"N"
6959,"자동차야영장사이트(43면)",43,"Y"
401,"일반야영장(23면)",23,"N"
402,"일반야영장(21면)",21,"N"
403,"일반야영장(14면)",14,"N"
405,"일반야영장(34면)",34,"N"
408,"일반야영장(38면)",38,"N"
7883,"일반야영장(16면) 글램핑시설(6면)",22,"Y"
420,"글램핑시설(11면)",11,"N"
7287,"",0,"N"
7120,"일반야영장(20면)",20,"Y"
7918,"일반야영장(30면)",30,"Y"
101248,"일반야영장(30면) 자동차야영장사이트(40면) 덤프스테이션(2기)",72,"Y"
425,"",0,"N"
426,"일반야영장(38면)",38,"N"
427,"카라반(7면)",7,"N"
7559,"글램핑시설(10면)",10,"Y"
8053,"글램핑시설(7면)",7,"Y"
428,"자동차야영장사이트(30면)",30,"N"
100155,"일반야영장(11면) 카라반(12면)",23,"Y"
434,"일반야영장(30면) 덤프스테이션(1기)",31,"N"
100210,"일반야영장(13면)",13,"N"
6744,"일반야영장(32면)",32,"N"
6745,"일반야영장(25면) 자동차야영장사이트(25면)",50,"N"
8211,"자동차야영장사이트(18면)",18,"N"
438,"일반야영장(35면)",35,"Y"
439,"카라반(3면)",3,"N"
7759,"자동차야영장사이트(10면) 카라반(10면)",20,"Y"
100221,"일반야영장(21면) 카라반(4면) 개인카라반사이트(4면)",29,"N"
440,"글램핑시설(5면)",5,"N"
441,"글램핑시설(44면) 카라반(2면)",46,"N"
100201,"글램핑시설(23면)",23,"Y"
100288,"글램핑시설(7면)",7,"Y"
7471,"",0,"N"
442,"글램핑시설(5면)",5,"N"
7531,"",0,"N"
448,"",0,"N"
449,"글램핑시설(4면) 카라반(4면)",8,"N"
100821,"일반야영장(14면) 글램핑시설(17면) 카라반(10면)",41,"N"
8062,"자동차야영장사이트(10면)",10,"Y"
454,"일반야영장(30면)",30,"N"
3003,"일반야영장(20면)",20,"N"
7629,"자동차야영장사이트(39면)",39,"Y"
456,"",0,"N"
7121,"일반야영장(12면)",12,"N"
462,"",0,"N"
465,"일반야영장(22면)",22,"N"
6748,"일반야영장(50면)",50,"Y"
468,"자동차야영장사이트(40면)",40,"N"
404,"일반야영장(24면) 카라반(1면)",25,"Y"
100472,"자동차야영장사이트(12면)",12,"Y"
471,"자동차야영장사이트(74면)",74,"N"
475,"일반야영장(73면) 자동차야영장사이트(73면)",146,"N"
477,"일반야영장(21면) 글램핑시설(3면)",24,"N"
480,"",0,"N"
483,"",0,"N"
484,"일반야영장(151면)",151,"Y"
7756,"자동차야영장사이트(16면)",16,"N"
492,"일반야영장(30면)",30,"N"
500,"일반야영장(40면)",40,"N"
503,"일반야영장(18면)",18,"N"
7571,"일반야영장(25면) 자동차야영장사이트(11면)",36,"N"
100218,"자동차야영장사이트(12면) 개인카라반사이트(11면)",23,"Y"
504,"자동차야영장사이트(52면)",52,"Y"
100217,"자동차야영장사이트(30면)",30,"Y"
507,"",0,"N"
2216,"자동차야영장사이트(70면) 글램핑시설(38면) 카라반(3면)",111,"N"
7402,"일반야영장(10면)",10,"N"
510,"자동차야영장사이트(42면)",42,"N"
7584,"일반야영장(8면) 자동차야영장사이트(14면)",22,"N"
512,"일반야영장(22면)",22,"N"
7505,"일반야영장(9면) 카라반(7면)",16,"N"
6963,"일반야영장(9면) 카라반(7면)",16,"N"
7122,"",0,"N"
521,"일반야영장(20면)",20,"N"
522,"일반야영장(34면)",34,"Y"
7647,"일반야영장(10면)",10,"N"
7815,"자동차야영장사이트(11면)",11,"Y"
100544,"일반야영장(28면)",28,"Y"
526,"일반야영장(25면)",25,"N"
527,"일반야영장(68면)",68,"N"
528,"자동차야영장사이트(28면)",28,"Y"
529,"일반야영장(50면)",50,"N"
530,"자동차야영장사이트(55면) 글램핑시설(8면)",63,"N"
532,"자동차야영장사이트(27면) 글램핑시설(11면)",38,"N"
533,"일반야영장(20면)",20,"Y"
7403,"",0,"N"
535,"일반야영장(12면)",12,"N"
7520,"일반야영장(45면)",45,"N"
538,"",0,"N"
540,"자동차야영장사이트(78면)",78,"Y"
543,"자동차야영장사이트(60면)",60,"Y"
548,"",0,"N"
100274,"자동차야영장사이트(41면)",41,"Y"
6753,"글램핑시설(7면)",7,"N"
8019,"자동차야영장사이트(41면)",41,"Y"
549,"자동차야영장사이트(37면) 카라반(17면)",54,"Y"
550,"일반야영장(11면) 카라반(12면)",23,"Y"
7101,"",0,"N"
555,"",0,"N"
563,"일반야영장(45면)",45,"N"
564,"자동차야영장사이트(31면)",31,"N"
6965,"",0,"N"
565,"일반야영장(34면)",34,"N"
100625,"카라반(11면) 개인카라반사이트(1면)",12,"N"
1306,"글램핑시설(10면) 카라반(6면)",16,"N"
2350,"글램핑시설(12면) 카라반(7면)",19,"Y"
100247,"일반야영장(30면) 자동차야영장사이트(36면) 개인카라반사이트(22면)",88,"Y"
100538,"일반야영장(15면) 카라반(1면)",16,"N"
100075,"일반야영장(15면) 카라반(15면)",30,"N"
100367,"일반야영장(25면)",25,"Y"
8195,"",0,"Y"
575,"일반야영장(50면) 자동차야영장사이트(50면)",100,"N"
